registered_name,gender,time,zwid,team,zp_name,points
Alan Hugill,1,423.982,285500,,Alan Hugill  (R3R THUNDER),20
Jane Geddes,2,425.771,1150516,,Jane Geddes (Vegan Badgers),20
Neil Hodgson,1,427.335,7520,,Neil Hodgson (OTR) ,10
Ross Hetherington,1,428.115,129517,,Ross Hetherington &#128012; (R3R 1Direction),8
Evan Flater,1,428.566,1063791,,E Flater (OTR Attak),6
James Eastwood,1,428.968,353326,,James Eastwood (Socks4Watts #AeroAF),5
Derek Mcintire,1,429.008,955953,,Derek McIntire &#9419; (Vegan Arrows),4
Daniel unt,1,429.776,182368,,Daniel Hunt (LEQP Mistral),3
john hughes,1,429.849,1354923,,John Hughes (Electricspirit.co B3a),2
Daniel Bolton,1,430.151,558697,,Daniel Bolton (LEQP Mistral),1
