registered_name,gender,time,zwid,team,zp_name,points
Ollie Fussell,1,5871.0889999999999417923390865325927734375,1976644,, Ollie Fussell (SDW Youth),20
Henry Bottoms,1,6076.8540000000002692104317247867584228515625,3199370,,Henry Bottoms (SDW YOUTH),15
Ladean Unser,2,6090.6480000000001382431946694850921630859375,86000,,Ladean Unser(DD2),10
Nathan Tully,1,6100.5590000000001964508555829524993896484375,2757731,,Nathan Tully (SDW Youth),8
Andrew Hayton,1,6144.5950000000002546585164964199066162109375,509608,,Andrew Hayton (ART Nuclear),6
Dorothy Gibson,2,6202.9080000000003565219230949878692626953125,143477,,dorothy ottie g [WTRL](DDUK),5
Pierre-Alexandre TARRIEU,1,6248.903000000000247382558882236480712890625,3314041,,Pierre-Alexandre Tarrieu,4
Jimbo V,1,6303.261000000000422005541622638702392578125,3297493,,Jimbo imbo (TFC),3
Amy Morris,2,6410.052999999999883584678173065185546875,2733583,,Amy Morris23 [WTRL] (DD2),2
Hilda van der Veen,2,6509.5489999999999781721271574497222900390625,1058200,,Dalih [Team Vegan],1
