registered_name,gender,time,zwid,team,zp_name,points
Alan Hugill,1,343.196,285500,,Alan Hugill  (R3R THUNDER),20
Derek Mcintire,1,351.628,955953,,Derek McIntire &#9419; (Vegan Arrows),15
Jane Geddes,2,352.993,1150516,,Jane Geddes (Vegan Badgers),20
Neil Hodgson,1,354.079,7520,,Neil Hodgson (OTR) ,8
Ross Hetherington,1,354.643,129517,,Ross Hetherington &#128012; (R3R 1Direction),6
Evan Flater,1,355.496,1063791,,E Flater (OTR Attak),5
James Eastwood,1,357.803,353326,,James Eastwood (Socks4Watts #AeroAF),4
john hughes,1,357.878,1354923,,John Hughes (Electricspirit.co B3a),3
Daniel unt,1,358.321,182368,,Daniel Hunt (LEQP Mistral),2
Martijn van der Vis,1,358.491,1452217,,Martijn Van Der Vis (Vegan Barracudas),1
