registered_name,gender,time,zwid,team,zp_name,points
John Bragg,1,11.296,2646918,,John Bragg (Vegan Spinach),20
Jamie Watson,1,11.831,448811,,Jamie Watson BRT (Visma),15
Craig Christie ,1,11.88,130703,,Craig Christie  (BRT Badgers),10
Warren Honey,1,11.989,1059788,,Warren Honey&#129441; (BRT Badgers),8
Dario Finatti,1,12.055,844179,,Dario Finatti (Team Italy 4),6
David Hivey,1,12.276,3360700,,David Hivey (ART ISOTOPES),5
Dean Marriott,1,12.281,410330,,Dean Marriott (Vegan Spinach),4
Kenneth Yau,1,12.448,183298,,Kenneth Yau (Vegan Dolphins),3
David hill,1,12.521,964610,,david hill (TFC Raptor),2
John Bamford,1,12.563,456955,,John  bamford (ART Neon),1
