registered_name,gender,time,zwid,team,zp_name,points
Nick Hird,1,283.994,54593,,Nick Hird (CRYO RDT Men),20
Zach Harner,1,286.016,800272,,Zach Harner (Nopinz R3R),15
Antti Vale,1,286.618,195687,,Antti Valve (FZR),10
Hywel Davies,1,286.756,1119043,,Hywel Davies (BRT),8
Tim Elskens,1,290.959,861277,,Tim Elskens (SPSD),6
Robert McEwan,1,310.425,619770,,Robert McEwan (TFC Typhoon),5
Joel Chidley,1,313.843,2366199,,Joel Chidley (R3R DEV INXS),4
Chris Pocock,1,320.426,419070,,Chris Pocock (Pain&Mountains),3
Wells Willett,1,320.704,1927805,,Wells Willett [Team Vegan],2
Oliver Milk,1,328.996,50486,,Oliver Milk,1
