registered_name,gender,time,zwid,team,zp_name,points
Patrick Harvey,1,5286.1999999999998181010596454143524169921875,88086,,Patch  Harvey [ BRT ],20
Warren Honey,1,5307.2370000000000800355337560176849365234375,1059788,,Warren Honey \u26a1\ufe0f\U0001f9a1 \U0001f9f9(BRT Badgers),15
Jason Feltus,1,5307.6840000000001964508555829524993896484375,91269,,Jason Feltus Race3R,10
Jamie Watson,1,5307.832000000000334694050252437591552734375,448811,,Jamie Watson BRT ,8
Chantale Bouchard,2,5311.365999999999985448084771633148193359375,224992,,  Chalou[Team Vegan] ,6
David hill,1,5339.902000000000043655745685100555419921875,964610,,david  hill (TFC),5
Evelien Bunnik,2,5341.46500000000014551915228366851806640625,1421324,,Evelien Bunnik [Vegan Crocs],4
Daniel Ongley,1,5398.5219999999999345163814723491668701171875,2791237,,Dan Ongley (ART-Neon),3
Liam Chell,1,5442.52000000000043655745685100555419921875,2677607,,Liam Chell (TFC),2
Craig Gritzen,1,5451.64099999999962165020406246185302734375,527678,,C raig [Team Vegan]\u270a\U0001f3fc,1
