registered_name,gender,time,zwid,team,zp_name,points
Zach Harner,1,336.304,800272,,Zach Harner (Nopinz R3R),20
Hywel Davies,1,336.738,1119043,,Hywel Davies (BRT),15
Antti Vale,1,356.038,195687,,Antti Valve (FZR),10
Robert McEwan,1,367.243,619770,,Robert McEwan (TFC Typhoon),8
Chris Pocock,1,377.216,419070,,Chris Pocock (Pain&Mountains),6
Noah Balch,1,377.447,1270113,,Noah Balch (OTR Blur),5
Alex rockwell,1,377.519,960543,,Alex  Rockwell (R3R DEV ABBA),4
Steven Brierley,1,377.674,43160,,Steven Brierley (Nopinz R3R),3
Oliver Milk,1,377.781,50486,,Oliver Milk,2
Wells Willett,1,377.976,1927805,,Wells Willett [Team Vegan],1
