registered_name,gender,time,zwid,team,zp_name,points
Nadezda Polakova,2,12.933,189794,,Nada 78 &#127793; (Vegan Coconuts),20
Cheryl Muldoon,2,13.344,113057,,Cheryl Muldoon,15
Mary Dootson,2,13.953,2650031,,Mary Dootson &#128039; (R3R A-ha) ,10
Jo Fleming,2,14.11,490655,,Jo Fleming (Vegan Spinach),8
Allison Gates,2,14.204,1375378,,Allison Gates &#9419; (Vegan Wasabi),6
Morgan Bennett,2,14.347,1665071,,Morgan Bennett (Vegan CocoNuts),5
Evelien Bunnik,2,14.659,1421324,,Evelien Bunnik &#127793; &#128007; (Vegan Wasabi),4
Chantale Bouchard,2,14.714,224992,,Chalou (Vegan CocoNuts),3
Cath Walls,2,14.788,2956232,,Cath Walls (TEAM VEGAN),2
Felicity Caddick,2,15.164,1955420,,Felicity C ,1
