registered_name,gender,time,zwid,team,zp_name,points
Duncan Johnson,1,10.277,2124922,,Duncan Johnson (OTR),20
Scott Gleason,1,10.442,429529,,Scott Gleason (Nopinz R3R),15
Oliver Milk,1,10.744,50486,,Oliver Milk,10
Leon O'Regan,1,10.776,397219,,Leon O&#039;Regan (TFC),8
Nick Hird,1,11.135,54593,,Nick Hird (CRYO RDT Men),6
Hywel Davies,1,11.19,1119043,,Hywel Davies (BRT),5
Pete Brookes,1,11.344,1012404,,Pete Brookes (ART Nuclear),4
Robert McEwan,1,11.378,619770,,Robert McEwan (TFC Typhoon),3
Neil Turner,1,11.788,1360468,,Neil Turner (R3R ACDC),2
Antonio Gatto,1,12.299,1107220,,Antonio Gatto (Vegan Alpacas),1
