registered_name,gender,time,zwid,team,zp_name,points
Evelien Bunnik,2,506.617,1421324,,Evelien Bunnik &#127793; &#128007; (Vegan Wasabi),20
Jamie Watson,1,516.598,448811,,Jamie Watson BRT (Visma),15
Patrick Harvey,1,522.76,88086,,Patch Harvey (BRT Badgers),10
Jason Feltus,1,523.836,91269,,Jason Feltus&#128057; Race3R ,8
Warren Honey,1,531.231,1059788,,Warren Honey&#129441; (BRT Badgers),6
Chantale Bouchard,2,531.401,224992,,Chalou (Vegan CocoNuts),15
James Wyatt,1,542.398,3244114,,James Wyatt &#9419; [Team Vegan],4
Liam Chell,1,547.397,2677607,,Liam Chell (TFC),3
Bruno Riollet,1,553.587,1534082,,Bruno Riollet&#9889; (Foudre Chartreuse),2
David hill,1,558.297,964610,,david hill (TFC Raptor),1
