registered_name,gender,time,zwid,team,zp_name,points
Amy Morris,2,579.748,2733583,,Amy Morris23 [WTRL] (DraftingDinos2),20
Ladean Unser,2,593.231,86000,,Ladean Unser [WTRL] (DraftingDinos2),15
Dorothy Gibson,2,601.071,143477,,dottie g 2156 [WTRL](DDUK),10
Hilda van der Veen,2,619.839,1058200,,Dalih (Vegan Dolphins),8
Naomi Bright,2,655.432,2885796,,Naomi Bright (Vegan Fireflies) ,6
Linny O'Rourke,2,661.476,478016,,Linny O&#039;Rourke (ART Neon),5
Ellen Van Eeckhout,2,704.077,2836546,,Ellen Van Eeckhout [Team Vegan],4
Fiona Thomson,2,718.547,533788,,Fiona Thomson (CMA),3
Jen Collins,2,758.428,2547684,,Jen Collins (Vegan Fireflies),2
Niene Niene ,2,824.966,1464527,,Niene Niene  (KC-M1),1
