registered_name,gender,time,zwid,team,zp_name,points
Amy Morris,2,14.423,2733583,,Amy Morris23 [WTRL] (DraftingDinos2),20
Ladean Unser,2,15.126,86000,,Ladean Unser [WTRL] (DraftingDinos2),15
Linny O'Rourke,2,15.647,478016,,Linny O&#039;Rourke (ART Neon),10
Ellen Van Eeckhout,2,15.661,2836546,,Ellen Van Eeckhout [Team Vegan],8
Dorothy Gibson,2,16.358,143477,,dottie g 2156 [WTRL](DDUK),6
Niene Niene ,2,16.394,1464527,,Niene Niene  (KC-M1),5
Naomi Bright,2,17.106,2885796,,Naomi Bright (Vegan Fireflies) ,4
Hilda van der Veen,2,17.226,1058200,,Dalih (Vegan Dolphins),3
Jen Collins,2,17.344,2547684,,Jen Collins (Vegan Fireflies),2
Fiona Thomson,2,17.827,533788,,Fiona Thomson (CMA),1
