registered_name,gender,time,zwid,team,zp_name,points
Rob Valdes,1,11.705,2694010,,Rob Valdes (Islington Cycling Club B),20
Evan Flater,1,11.811,1063791,,E Flater (OTR Attak),15
Jeremy Leal,1,12.068,2893659,,Jeremy Leal (OTR OostB),10
Neil Hodgson,1,12.192,7520,,Neil Hodgson (OTR) ,8
Daniel Bolton,1,12.195,558697,,Daniel Bolton (LEQP Mistral),6
Dean dingle,1,12.201,1373912,,Dean Dingle (R3R ACDC),5
Terry Skeet,1,12.491,1035411,,Terry Skeet (R3R QUEEN),4
David Akrigg,1,12.513,561201,,David Akrigg (R3R 1Direction),3
Jason Byles,1,12.75,1209191,,Jason Byles (ART Photons),2
Carl Krystek,1,12.879,609290,,Carl Krystek (Vegan Jalapenos),1
