registered_name,gender,time,zwid,team,zp_name,points
Daniel unt,1,1482.60500000000001818989403545856475830078125,182368,,Daniel Hunt | LEQP,20
Ross Hetherington,1,1482.7629999999999199644662439823150634765625,129517,,Ross Hetherington Race3R \U0001f40c,15
Jeroen Speelmans,1,1483.118999999999914507498033344745635986328125,1401963,,Jeroen Speelmans (LEQP),10
James Eastwood,1,1483.509000000000014551915228366851806640625,353326,,James Eastwood [Socks4Watts] ,8
Rob Valdes,1,1483.823000000000092768459580838680267333984375,2694010,,Rob V (Islington CC),6
Lukas Pedersen,1,1484.0219999999999345163814723491668701171875,1495980,,Lukas Pedersen,5
Karel Smeets,1,1484.227000000000089130480773746967315673828125,1402075,,Karel Smeets [Team Vegan],4
Neil Hodgson,1,1484.336000000000012732925824820995330810546875,7520,,Neil Hodgson (OTR),3
john hughes,1,1485.374000000000023646862246096134185791015625,1354923,,John Hughes [Electricspirit.co]\xa0,2
Martijn van der Vis,1,1485.432000000000016370904631912708282470703125,1452217,,Martijn Van Der Vis [Team Vegan],1
