registered_name,elapsed,zwid,name,team,subteam
Daniel unt,138.582,182368,Daniel Hunt (LEQP Hunters),"('LEQP',)",
Jeroen Speelmans,139.013,1401963,Jeroen Speelmans (LEQP Hunters),"('LEQP',)",
Ross Hetherington,139.126,129517,Ross Hetherington &#128012; (R3R DEV ELO),"('Race3R',)",
Sean Leary,143.324,2519288,Sean Leary,"('Team Vegan Bobcats',)",
Jeff Woods,144.058,212950,Jeff Woods (ART Photons),"('ART Photons',)",
albert chan,144.25,492994,Albert Chan (OTR),"('On The Rivet',)",
Alan Hugill,144.957,285500,Alan Hugill  (R3R THUNDER),"('Race3R',)",
Dean dingle,145.097,1373912,Dean Dingle (R3R THUNDER),"('Race3R',)",
Neil Owens,145.129,423229,Neil Owens &#9419; (Vegan Knights),"('Team Vegan Badgers',)",
