registered_name,gender,time,zwid,team,zp_name,points
Jimbo V,1,1776.2190000000000509317032992839813232421875,3297493,,Jimbo imbo (TFC),20
Ollie Fussell,1,1776.446999999999889041646383702754974365234375,1976644,, Ollie Fussell (SDW Youth),15
Kent Smith,1,1777.704999999999927240423858165740966796875,919918,,Kent Smith (TT1F),10
David Nielsen,1,1794.74299999999993815436027944087982177734375,2773311,,. Ya Boyee! [Team Vegan],8
Cefn O'Ryan,1,1800.65900000000010550138540565967559814453125,740252,,Cefn O\u2019Ryan (ART Fusion) ,6
Christopher Price,1,1831.500999999999976353137753903865814208984375,189331,,Christopher Price (TT1 Hypers),5
Mark Kassels,1,1831.96199999999998908606357872486114501953125,1554576,,Mark Kassels(TT1D  the Ketones)9115,4
Jason Watts,1,1840.2139999999999417923390865325927734375,983355,,Jason Watts \u24cb [Team Vegan] CocoNuts,3
Tim Coppens,1,1840.756000000000085492501966655254364013671875,2139446,,Tim Coppens\U0001f331 [Team Vegan],2
Mary Swindles,2,1883.464999999999918145476840436458587646484375,1140029,,Mary     Swindles (ART Fusion),1
