registered_name,gender,time,zwid,team,zp_name,points
Cefn O'Ryan,1,18.202,740252,,Cefn O&rsquo;Ryan (ART Fusion),20
Jimbo V,1,18.653,3297493,,Jimbo Viny (TFC),15
Ryan Biegen,1,19.112,2952708,,Ryan Biegen TT1D (TT1 Gluconauts),10
Ollie Fussell,1,19.974,1976644,,Ollie Fussell (SDW YOUTH),8
David Nielsen,1,20.837,2773311,,. Ya Boyee! [Team Vegan],6
Jason Watts,1,20.977,983355,,Jason Watts &#9419; (Vegan CocoNuts),5
Linny O'Rourke,2,21.036,478016,,Linny O&#039;Rourke (ART Fusion),20
Tim Coppens,1,21.174,2139446,,Tim Coppens&#127793; [Team Vegan],3
Christopher Price,1,21.573,189331,,Christopher Price (TT1 Hypers),2
Kent Smith,1,21.597,919918,,Kent Smith (TT1 Humalogs),1
