registered_name,gender,time,zwid,team,zp_name,points
Adam C.,1,13.173,70177,,~ Cycopath ~ (Team Vegan) ,20
Erik Haugen,1,13.601,885598,,Erik Haugen (Nopinz R3R),15
Tim Elskens,1,13.638,861277,,Tim Elskens (SPSD),10
Oliver Milk,1,13.712,50486,,Oliver Milk,8
Antti Vale,1,13.762,195687,,Antti Valve (FZR),6
Hywel Davies,1,13.771,1119043,,Hywel Davies (BRT),5
Duncan Johnson,1,14.092,2124922,,Duncan Johnson (OTR),4
Robert McEwan,1,14.119,619770,,Robert McEwan (TFC Typhoon),3
Alex TenElshof,1,14.326,485822,,Alex TenElshof &#127755; (Finesse),2
Hans-Georg Becker,1,14.534,1765,,H-G Becker (VZT) &#128062;,1
