registered_name,gender,time,zwid,team,zp_name,points
Patrick Harvey,1,1471.095,88086,,Patch Harvey (BRT Badgers),20
Cath Walls,2,1495.911,2956232,,Cath Walls (TEAM VEGAN),20
Ines Pfeilmeier,2,1502.366,1604473,,I KP (Vegan Bees),15
Jason Feltus,1,1503.801,91269,,Jason Feltus&#128057; Race3R ,8
Daniel Ongley,1,1511.379,2791237,,Dan Ongley (ART-NEUTRONS),6
Guy Vandersmissen,1,1524.358,980133,,Guy Vdsmis (TFC),5
Evelien Bunnik,2,1527.359,1421324,,Evelien Bunnik &#127793; &#128007; (Vegan Wasabi),10
James Wyatt,1,1530.548,3244114,,James Wyatt &#9419; [Team Vegan],3
Craig Gritzen,1,1557.12,527678,,Craig Gritzen &#9445; (Vegan Crocodiles) ,2
Robert Moseley,1,1558.652,2863452,,Rob Moseley (ART Isotopes),1
