registered_name,gender,time,zwid,team,zp_name,points
Ross Hetherington,1,1199.145,129517,,Ross Hetherington &#128012; (R3R ACDC),20
Derek Mcintire,1,1220.633,955953,,Derek McIntire &#9419; (Vegan Arrows),15
Martijn van der Vis,1,1224.556,1452217,,Martijn Van Der Vis (Vegan Barracudas),10
Alan Hugill,1,1228.672,285500,,Alan Hugill  (R3R THUNDER),8
Jane Geddes,2,1237.466,1150516,,Jane Geddes (Vegan Badgers),20
Evan Flater,1,1240.298,1063791,,E Flater (OTR FRAPPATTAK),5
Patrick Söller,1,1254.971,1462344,,Patrick S&ouml;ller (Vegan Bobcats),4
Ryan Ness,1,1258.8,2858658,,Ryan Ness (TFC),3
Josh Nordell,1,1258.998,1381321,,Josh Nordell (TFC B52),2
Neil Hodgson,1,1259.064,7520,,Neil Hodgson (OTR Slakken) ,1
