registered_name,gender,time,zwid,team,zp_name,points
Leon O'Regan,1,15.999,397219,,Leon O&#039;Regan (TFC),12
Nick Hird,1,16.915,54593,,Nick Hird (CRYO RDT Men),10
Wells Willett,1,17.082,1927805,,Wells Willett [Team Vegan],8
Pete Brookes,1,17.217,1012404,,Pete Brookes (ART Nuclear),7
Olivier Symoens,1,17.222,1515010,,Olivier Symoens,6
Hywel Davies,1,17.279,1119043,,Hywel Davies (BRT),5
Neil Turner,1,17.735,1360468,,Neil Turner (R3R ACDC),4
Robert McEwan,1,17.893,619770,,Robert McEwan (TFC Typhoon),3
Colin Saunders,1,18.184,798491,,Colin Saunders (OTR RUSH),2
Roland Bösche,1,18.208,479525,,Rolins Neverstop &#127793; (Team Vegan),1
