registered_name,gender,time,zwid,team,zp_name,points
John Bragg,1,22.196,2646918,,John Bragg (Vegan Spinach),12
Tim Mennell,1,23.17,2610238,,Tim Mennell (TFC),10
David hill,1,23.28,964610,,david hill (TFC),8
Warren Honey,1,23.409,1059788,,Warren Honey&#129441; (BRT Badgers),7
Marko Niederheide,1,24.023,601425,,Marko Niederheide (Vegan Spinach),6
Nadezda Polakova,2,24.5,189794,,Nada 78 &#127793; (Vegan Bees),12
Rudi peters,1,25.054,2682294,,Rudi Peters (OTR Force),4
Philip Sudworth,1,25.359,314508,,Philip Sudworth (TFC),3
Joe Winning,1,25.48,435308,,Joe Winning (ART neutrons),2
Patrick Harvey,1,25.941,88086,,Patch Harvey (BRT Badgers),1
