registered_name,gender,time,zwid,team,zp_name,points
Jane Geddes,2,24.075,1150516,,Jane Geddes (Vegan Badgers),12
Debra Sluz Parker,2,24.747,260577,,Debra Sluz Parker (KISS W),10
Fran Bambust,2,25.248,427114,,Fran Bambust ,8
