registered_name,gender,time,zwid,team,zp_name,points
Carlos Marin,1,30.443,2533741,,Carlos Marin (Vegan Nighthawks),20
Nikolaj Therkelsen,1,31.711,150173,,Nikolaj Therkelsen,15
Tobias Schmitt,1,32.941,1424719,,Tobias Schmitt (COALITION),10
Alan Hugill,1,33.217,285500,,Alan Hugill  (R3R THUNDER),8
Derek Mcintire,1,33.541,955953,,Derek McIntire &#9419; (Vegan Arrows),6
Neil Hodgson,1,34.712,7520,,Neil Hodgson (OTR Slakken) ,5
Daniel unt,1,35.345,182368,,Daniel Hunt (LEQP Mistral),4
Jeroen Speelmans,1,35.895,1401963,,Jeroen Speelmans (LEQP Hunters),3
Ryan Ness,1,36.869,2858658,,Ryan Ness (TFC),2
Phil Daws,1,38.037,480820,,Phil Daws &#9419; (Vegan Bobcats),1
