registered_name,gender,time,zwid,team,zp_name,points
Ryan Biegen,1,41.873,2952708,,Ryan Biegen TT1D (TT1 Gluconauts),20
Nathan Tully,1,43.901,2757731,,Nathan Tully (SDW Youth),15
Jimbo V,1,44.56,3297493,,Jimbo Viny (TFC),10
Jason Watts,1,45.734,983355,,Jason Watts &#9419; (Vegan CocoNuts),8
Henry Bottoms,1,48.697,3199370,,Henry Bottoms (SDW YOUTH),6
Cefn O'Ryan,1,50.705,740252,,Cefn O&rsquo;Ryan (ART Fusion),5
Leo Hughes,1,51.822,2403581,,Leo Hughes [SDW] Youth,4
Pierre-Alexandre TARRIEU,1,53.578,3314041,,Pierre-Alexandre Tarrieu,3
Ladean Unser,2,54.754,86000,,Ladean Unser [WTRL] (DraftingDinos2),20
Tim Coppens,1,55.511,2139446,,Tim Coppens&#127793; [Team Vegan],1
