registered_name,gender,time,zwid,team,zp_name,points
Christopher Price,1,24.132,189331,,Christopher Price (TT1 Hypers),12
Jimbo V,1,24.841,3297493,,Jimbo Viny (TFC),10
Jason Watts,1,25.96,983355,,Jason Watts &#9419; (Vegan CocoNuts),8
Mark Kassels,1,26.406,1554576,,Mark Kassels(TT1 Humalogs)9115,7
Cefn O'Ryan,1,27.135,740252,,Cefn O&rsquo;Ryan (ART Fusion),6
Andrew Hayton,1,27.269,509608,,Andrew Hayton (ART Fusion),5
Fiona Thomson,2,27.432,533788,,Fiona Thomson (CMA),12
Leo Hughes,1,28.925,2403581,,Leo Hughes [SDW] Youth,3
Henry Bottoms,1,29.824,3199370,,Henry Bottoms (SDW YOUTH),2
Gary Laverick,1,30.31,2566486,,Gary Laverick,1
