registered_name,elapsed,zwid,name,team,subteam
Jeroen Speelmans,10.627,1401963,Jeroen Speelmans (LEQP Hunters),"('LEQP',)",
Evan Flater,10.672,1063791,E Flater (OTR),"('On the Rivet',)",
Carl Krystek,10.986,609290,Carl Krystek (Team Vegan),"('Team Vegan Barracudas',)",
James Eastwood,13.351,353326,James Eastwood (Socks4Watts #AeroAF),"('Socks4Watts',)",
Paul Tippins,13.368,121731,Paul Tippins  (ART Protons),"('ART Photons',)",
Evan Flater,13.446,1063791,E Flater (OTR),"('On the Rivet',)",
albert chan,13.452,492994,Albert Chan (OTR),"('On The Rivet',)",
David Akrigg,13.528,561201,David Akrigg (R3R U2),"('Race3r',)",
Josh Nordell,13.544,1381321,Josh Nordell (TFC),"('TFC',)",
