registered_name,gender,time,zwid,team,zp_name,points
Christopher Price,1,24.903,189331,,Christopher Price (TT1 Hypers),12
Jimbo V,1,24.992,3297493,,Jimbo Viny (TFC),10
Nathan Tully,1,27.3,2757731,,Nathan Tully (SDW Youth),8
Leo Hughes,1,27.849,2403581,,Leo Hughes [SDW] Youth,7
Mark Kassels,1,28.08,1554576,,Mark Kassels(TT1 Humalogs)9115,6
Fiona Thomson,2,28.449,533788,,Fiona Thomson (CMA),12
Cefn O'Ryan,1,28.603,740252,,Cefn O&rsquo;Ryan (ART Fusion),4
Ladean Unser,2,28.63,86000,,Ladean Unser [WTRL] (DraftingDinos2),10
Jason Watts,1,28.998,983355,,Jason Watts &#9419; (Vegan CocoNuts),2
Mary Swindles,2,29.196,1140029,,Mary Swindles (AHDR HotToddies),8
